,id:1-pv_input_voltage,id:1-pv_input_current,id:1-pv_output_voltage,id:1-pv_output_current,id:2-dcdc1_input_voltage,id:2-dcdc1_input_current,id:2-dcdc1_output_voltage,id:2-dcdc1_output_current,id:3-dcdc2_input_voltage,id:3-dcdc2_input_current,id:3-dcdc2_output_voltage,id:3-dcdc2_output_current,id:4-battery_voltage,id:4-battery_soc
0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
2,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
3,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
4,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
5,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
6,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
7,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
8,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
9,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
10,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
11,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
12,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
13,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
14,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
15,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
16,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
17,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
18,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
19,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
20,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
21,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
22,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
23,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
24,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
25,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
26,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
27,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
28,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
29,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
30,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
31,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
32,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
33,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
34,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
35,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
36,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
37,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
